,sku,name,brewery,rating,category,sub_category_1,sub_category_2,sub_category_3,description,region,country,abv,ibu,calories_per_serving_12oz,carbs_per_serving_12oz,tasting_notes,food_pairing,suggested_glassware,serving_temp_f,serving_temp_c,beer_type,features,sub_category_2_original,sub_category_3_original,brewery_original
7927,107932,Lindemans Lambic Gift Pack,5079,4.605000000000001,Beer,Ale,3,0,"Lindemans Gift Set is a great way to experience a range of fruit lambics - Belgian ales fermented with wild yeast - from this family-owned brewery established in 1822. It's a great gift: these beers are so tasty and unique that Lindemans are the best-selling lambics in the US. Includes one 8.45 oz. bottle each of Peche and Strawberry, and two 8.45 oz. bottles of Framboise (their best-seller), plus an elegant tulip glass with Lindemans Lambic logo. Glass is approximately 8"" high x 3-1/2"" diameter at widest point. Lindemans Framboise Lambic (ABV 2.5%) Magnificent aroma, delicate palate of raspberries with undertones of fruity acidity; elegant, sparkling clean taste. Lindemans Peche Lambic (ABV 2.5%) Golden in color; with a nose that fills the room with fresh peaches. Sparkling, crisp and refreshing balance of fruit and complexity from wild yeast. Lindemans Strawberry Lambic (ABV 4.1%) Rosy hue, with a beautiful aroma of perfectly ripened strawberries. Shows complex, captivating flavors; delicate sweetness is balanced by traditional lambic tartness in the finish.",Vlezenbeek,Belgium,2.5,9.0,,,,"Cheese, Charcuterie, Chocolate",Snifter/Goblet/Chalice,45-50° F,7.2-10.0° C,,,Belgian-Style Ale,,Lindemans Brewery
7930,107935,Trois Dames Date Lines Grisette,5086,4.488000000000001,Beer,Ale,3,53,"Fruit Grisette (collab with Trois Dames, Switzerland)",Sainte-Croix,Switzerland,4.5,22.0,,,,"Seafood, Salad, Chicken",,,,,,Belgian-Style Ale,Saison / Farmhouse Ale,Lines
7946,107951,Lit Brew Fuzzy Hazy IPA,5113,4.25,Beer,Ale,15,43,"What is New England / Hazy IPA?

New England / Hazy IPA is a style of beer that has become increasingly popular in recent years. The New England / Hazy IPA (India Pale Ale, for the long version) is characterized by a hazy, slightly opaque appearance and a smooth, creamy mouthfeel. There's a number of beers in this category that are lovingly called juice bombs, because they flavor feels like the perfect combination of orange juice and beer. Thank us later. The flavor is a complex balance of hop bitterness and hop aromas of tropical and citrus fruits, with a hint of malt sweetness. The malt in this beer variety provides a light body and smooth finish that is complemented by light bitterness that doesn't overly linger. You'll find that many, if not most NEIPAs have a higher ABV than other IPA varietals, usually between 5.5% - 7.5% ABV.",Prague,Czech Republic,6.5,45.0,,,,"Spicy Thai curry, Grilled chicken, Mango salsa",Snifter/Goblet/Chalice,45-50° F,7.2-10.0° C,,,IPA,New England / Hazy IPA,Lit Brew
8040,108045,Loophole Hoist NEIPA,5210,4.17,Beer,Ale,15,43,"A juicy, hazy, dry-hopped New England IPA with bright flavors of passionfruit, grapefruit and apricot.
Brewed with Pale Malt, oats, white wheat, this take on the NEIPA is soft and enticing, deftly exhibiting the hop profiles of Amarillo, Simcoe and Vic Secret varieties.",Berlin,Germany,6.5,45.0,,,,"Spicy Thai curry, Grilled chicken tacos, Citrus glazed salmon",Snifter/Goblet/Chalice,45-50° F,7.2-10.0° C,,,IPA,New England / Hazy IPA,Loophole
8041,108046,Loophole Brewing First Encounter NEIPA,5211,4.146,Beer,Ale,15,43,"A classic, hazy, dry-hopped New England IPA with bright notes of peach and passionfruit, juicy orange and undertones of grapefruit, lime and citrus zest. Brewed with Pale Malt, oats, white wheat and a touch of Vienna malt for enough body to support the generous hopping with Citra, Simcoe and Centennial varieties.",Berlin,Germany,7.4,45.0,,,,"Spicy Thai curry, Grilled chicken tacos, Citrus glazed salmon",Snifter/Goblet/Chalice,45-50° F,7.2-10.0° C,,,IPA,New England / Hazy IPA,Loophole Brewing
8042,108047,Loophole Movin' Through Kashmir NEIPA,5211,4.152,Beer,Ale,15,43,"A fruity, hazy, dry-hopped New England IPA with notes of peach, tropical fruit and lime, hints of mango and pineapple, and undertones of lemongrass and melon. Brewed with Pale Malt, oats, white wheat with enough residual sweetness enough to balance the exquisite hopping from Comet, Citra and Cashmere varieties.",Berlin,Germany,7.5,50.0,,,,"Spicy Thai curry, Grilled shrimp, Mango salsa",Snifter/Goblet/Chalice,45-50° F,7.2-10.0° C,,,IPA,New England / Hazy IPA,Loophole Brewing
8086,108091,Lucifer Golden Single,5258,4.684500000000003,Beer,Ale,3,0,Anker (after the take-over of Riva-Liefmans by Moortgat).,Ghent,Belgium,8.0,8.0,,,,"Spicy Thai curry, Grilled chicken, Sharp cheddar cheese",Snifter/Goblet/Chalice,50-55° F,10.0-12.8° C,,,Belgian-Style Ale,,Lucifer
8087,108092,Lucifer Belgian Ale,5258,4.677000000000001,Beer,Ale,13,0,"LUCIFER    INTRODUCTION     Lucifer entered the market in the early 1980s under the label of the Riva brewery. It was an extension to the popular segment of strong, blond beers. In 2009, brewery Het Anker obtained the right to brew and commercialize Lucifer.    Lucifer is a strong, blond beer (8.0%) with a gold yellow color and creamy white head. Its fruity aroma with subtle notes of bitter hops, followed by a long and perfectly balanced finish, will definitely seduce you!",Ghent,Belgium,8.0,24.0,,,,"Spicy Thai food, Grilled sausages, Dark chocolate.",Pint Glass,45-50° F,7.2-10.0° C,,,Golden / Blonde Ale,,Lucifer
8088,108093,Lucifer Golden Ale,5258,4.695000000000001,Beer,Ale,13,0,"Lucifer entered the market in the mid 1980s under the label of Liefmans breweries. It was an extension to the popular segment of strong, blonde beers. After Liefmans Breweries disappeared, Lucifer fell into the hands of our neighbours and friends Duvel Moortgat. However, they only wished to concentrate on Liefmans’ fruit beers. Lucifer was in danger of dying a silent death. But we didn’t let it get that far, our conscience couldn’t allow this to happen. Het Anker received the right to produce and commercialise Lucifer. May we roast in hell if it doesn’t follow the success of our own beers!",Ghent,Belgium,8.0,8.0,,,,"Spicy Thai curry, Grilled chicken, Sharp cheddar cheese",Pint Glass,45-50° F,7.2-10.0° C,,,Golden / Blonde Ale,,Lucifer
8260,108265,Marble Safeword IPA,5409,4.039000000000001,Beer,Ale,15,0,"Red. Pineapple. Banana. A sensory experience so intense and dank, you’re going to need a safeword! Our choice: IPA",Manchester,United Kingdom,7.5,55.0,,,,"Spicy Thai curry, Grilled chicken, Sharp cheddar cheese",Snifter/Goblet/Chalice,45-50° F,7.2-10.0° C,,,IPA,,Marble
8265,108270,Maredsous Blonde #6,5417,4.7965,Beer,Ale,3,0,Golden beer with a characteristically fresh bouquet and sweet after-taste.,Denee,Belgium,6.0,24.0,,,,"Chicken, Salad, Cheese",Snifter/Goblet/Chalice,50-55° F,10.0-12.8° C,Craft,,Belgian-Style Ale,,Maredsous
8266,108271,Maredsous Blonde,5417,4.806000000000001,Beer,Ale,3,0,"Pours a deep, orange-amber hue. A superb ""session"" beer from Belgium, with al ovely nose of spices, banasa, clove, and grains. On the palate a breadiness adds some complexity. Fruity, sugary tones come through. Finishes dry, with nice carbonation.",Denee,Belgium,6.0,26.0,,,,"Chicken, Salad, Cheese",Snifter/Goblet/Chalice,50-55° F,10.0-12.8° C,Craft,,Belgian-Style Ale,,Maredsous
8267,108272,Maredsous Abbey Tripel,5417,4.615166666666666,Beer,Ale,3,58,"Maredsous Tripel is a golden-bodied Belgian triple, redolent with festive sparkle, creamy body and a luscious head. Its elegant smoothness belies the strong alcohol content. You'll revel in its balanced, long, and warming finish.",Denee,Belgium,10.0,15.0,,,,"Spicy Thai curry, Roasted chicken, Aged Gouda cheese",,,,,,Belgian-Style Ale,Tripel,Maredsous
8268,108273,Maredsous,5417,4.6099999999999985,Beer,Ale,3,58,"Maredsous is the authentic beer of the Benedictine monks of the abbey of Maredsous in Belgium. The abbey is located in the Belgian Ardennes, south of the City of Namur, in the Province of Namur, next to a picturesque village called Denée.",Denee,Belgium,10.0,24.0,,,,"Cheese, Charcuterie, Grilled Chicken",,,,,,Belgian-Style Ale,Tripel,Maredsous
8269,108274,Maredsous Blonde Ale,5417,4.805499999999999,Beer,Ale,13,0,"The light Maredsous Blonde was the abbey's very first beer. Nowadays, the monks still drink it daily at lunch. Maredsous Blonde is a delectable blonde ale with springy fruitiness, soft malting and a slightly dry, gentle-hopped finish. A sparkling nose, complex flavors and a touch of bitterness give this fine ale all of the refreshing qualities of a classic Belgian blonde.",Denee,Belgium,6.0,26.0,,,,"Chicken, Pork, Cheese",Pint Glass,45-50° F,7.2-10.0° C,,,Golden / Blonde Ale,,Maredsous
8270,108275,Maredsous Triple Ale 10,5417,4.634166666666668,Beer,Ale,3,58,"Maredsous Triple is served in the abbey on special occasions. Its elegant smoothness hides its alcohol content and makes it the connoiseur's beer.
Maredsous Tripel is a golden-bodied Belgian triple, redolent with festive sparkle, creamy body and a luscious head. Its elegant smoothness belies the strong alcohol content. You'll revel in its balanced, long, and warming finish.",Denee,Belgium,10.0,10.0,,,,"Spicy Thai curry, Grilled sausages, Creamy blue cheese",,,,,,Belgian-Style Ale,Tripel,Maredsous
8335,108340,Agullons Runa Brown Ales,5455,4.5798999999999985,Beer,Ale,7,0,"Cerveza oscura de tres tipos de malta, Pale, Crystal, Chocalate y Roasted Barley sin maltear, esta combinación hace que sea una cerveza muy tostada pero sin llegar a ser una negra. Los lúpulos son de la variedad Northern Brewer y Fuggles. Marida con carnes y postres elaborados con chocolate.",Barcelona,Spain,5.0,30.0,,,,"Grilled steak, Roasted vegetables, Dark chocolate.","Pint Glass, Stein/Pub Mug",45-50° F,7.2-10.0° C,,,Brown Ale,,Masia Agullons
8442,108447,Mateo & Bernabe 11 Golden Ale,5475,4.7165,Beer,Ale,13,0,"Handcrafted golden ale. Sparkling gold and copper color. Blended flavors: sweet, fruity and surprising citric finish. I deal with an aperitif and easy drinking.",Madrid,Spain,5.2,25.0,,,,"Spicy Thai curry, Grilled chicken, Citrus salad",Pint Glass,45-50° F,7.2-10.0° C,,,Golden / Blonde Ale,,Mateo & Bernabe
8462,108467,Meantime IPA,5510,4.0360000000000005,Beer,Ale,15,0,"India Pale Ale is the beer that sustained the British Raj – it did not just survive the passage to India, it matured to perfection on the long voyage. Original IPA was heavily hopped – up to twice as much as domestic beers - and so Meantime use plenty of Kent Fuggles and Goldings to help re-create the flavours of the world’s first great pale beer style.",London,United Kingdom,7.4,70.0,,,,"Spicy Thai curry, Grilled chicken, Sharp cheddar cheese","Pint Glass, Snifter/Goblet/Chalice",45-50° F,7.2-10.0° C,,,IPA,,Meantime Brewing
8507,108512,Serafijn Christmas Angel,5559,4.734000000000002,Beer,Ale,3,9,"This hearty amber brew, well-balanced and warming, is the brewer's special celebration of this wonderful season, when the herald angels sing. A Merry Christmas, and Happy New Year to all, from Brouwerij Achilles!",Ieper,Belgium,8.0,25.0,,,,"Roast duck, Dark chocolate, Spiced nuts",Snifter/Goblet/Chalice,50-55° F,10.0-12.8° C,,,Belgian-Style Ale,Belgian Strong Ale,Microbrouwerij Achilles
8551,108556,Mikkeller Arh Hvad Gran Marnier,5584,4.394999999999999,Beer,Ale,3,9,This barrel aged version has notes of orange and lychee from the Grand Marnier barrels used in ageing and finishes with a hint of spice.,Copenhagen,Denmark,6.8,40.0,,,,"Duck, Chocolate, Blue Cheese",Snifter/Goblet/Chalice,45-50° F,7.2-10.0° C,Craft,,Belgian-Style Ale,Belgian Strong Ale,Mikkeller
8552,108557,Mikkeller Nelson Sauvignon Brut,5584,4.443999999999999,Beer,Ale,3,9,"Nelson Sauvignon is a New Year beer it is fermented with ale yeast, brettanomyces and enzymes. Then it has been aged three months in Austrian white wine casks. Very dry, very vinous and very delicious.",Copenhagen,Denmark,9.0,40.0,,,,"Seafood, Salad, Cheese",Snifter/Goblet/Chalice,50-55° F,10.0-12.8° C,Craft,,Belgian-Style Ale,Belgian Strong Ale,Mikkeller
8553,108558,Mikkeller Nelson Sauvin Brut Dry Hopped,5584,4.443999999999999,Beer,Ale,3,9,"Impeccably detailed wild ale that gets fermented with Champagne yeast, Brettanomyces, and enzymes, and ages for months inside white wine casks from Austria.",Copenhagen,Denmark,9.0,40.0,,,,"Seafood, Spicy Thai dishes, Goat cheese",Snifter/Goblet/Chalice,50-55° F,10.0-12.8° C,Craft,,Belgian-Style Ale,Belgian Strong Ale,Mikkeller
8554,108559,Mikkeller Santa's Little Helper Belgian Strong Ale,5584,3.591,Beer,Ale,3,9,"This beer is inspired by the Belgian Christmas Beers, known for their thick warming body, light spices and balanced hop profile.
It’s a dark brown, sweet and potent Belgian strong ale. The aroma gives away notes of spices, caramel, roasted malt and nuts. The flavor has some hints of dark dried fruit, brown sugar, and liquorice. It’s sweet with notes of caramel, orange peel and spices and the finish is lightly dry due to the balanced hop profile.",Copenhagen,Denmark,10.9,100.0,,,,"Roast duck, Dark chocolate, Blue cheese",Snifter/Goblet/Chalice,45-50° F,7.2-10.0° C,,,Belgian-Style Ale,Belgian Strong Ale,Mikkeller
8555,108560,Mikkeller Santa's Little Helper Aged in Grand Marnier Barrels,5584,3.591,Beer,Ale,3,9,Holiday Ale brewed with spices and aged in Grand Marnier barrels.,Copenhagen,Denmark,10.9,100.0,,,,"Chocolate desserts, Roasted duck, Blue cheese",Snifter/Goblet/Chalice,45-50° F,7.2-10.0° C,Craft,,Belgian-Style Ale,Belgian Strong Ale,Mikkeller
8556,108561,Mikkeller Ah Hvad?!,5584,3.665,Beer,Ale,3,0,"A Belgian Ale with a cloudy amber color and a white head. The taste is peppery, malty with a hoppy finish. Hints of strawberries and nutty malt with a lightly hopped grapefruit finish.",Copenhagen,Denmark,6.8,70.0,,,,"Spicy Thai curry, Grilled sausages, Dark chocolate.",Snifter/Goblet/Chalice,50-55° F,10.0-12.8° C,Craft,,Belgian-Style Ale,,Mikkeller
8558,108563,Mikkeller It's Alive,5584,4.724000000000002,Beer,Ale,3,0,"t’s Alive! is Mikkellers answer and tribute to the trappist beer Orval. It’s Alive is an easy-to-drink beer, with a lot of hops. The color is amber, the foam is high, white and dense. The potent Brettanomyces culture makes It’s Alive continue to develop in the bottle. Ingredients : Water, malt (pale and cara), light candy, hops (hallertauer and styrian goldings), yeast and brettanomyces.",Copenhagen,Denmark,8.0,26.0,,,,"Cheese, Charcuterie, Spicy Thai cuisine",Snifter/Goblet/Chalice,50-55° F,10.0-12.8° C,Craft,,Belgian-Style Ale,,Mikkeller
8559,108564,Mikkeller Mastodor Mother Puncher,5584,3.7,Beer,Ale,3,0,Farmhouse IPA brewed with passion fruit. A farmhouse IPA packed with tons of funky flavors from the brettanomyces and mashed up with sweet and tart notes from passion fruit creating a deliciously funky IPA. A collaboration with metal band Mastodon.,Copenhagen,Denmark,6.6,70.0,,,,"Spicy Thai food, Grilled sausages, Blue cheese",Snifter/Goblet/Chalice,50-55° F,10.0-12.8° C,Craft,,Belgian-Style Ale,,Mikkeller
8560,108565,Mikkeller Table Talker,5584,4.768999999999999,Beer,Ale,3,0,Belgian Table Beer,Copenhagen,Denmark,4.4,35.0,,,,"Spicy Thai food, Grilled chicken, Citrus salad",Snifter/Goblet/Chalice,50-55° F,10.0-12.8° C,,,Belgian-Style Ale,,Mikkeller
8561,108566,Mikkeller Monk's Brew Elixer,5584,4.721999999999998,Beer,Ale,3,49,"Monk’s Elixir is a heavy dark Belgian ale inspired by the Trappist monasteries of Rochefort and Westvleteren. The beer style, characterized by its high content of alcohol, distinguishes itself by its dominant yeast character, delicious malt background and balanced hop notes.",Copenhagen,Denmark,10.0,35.0,,,,"Steak, Blue Cheese, Dark Chocolate",Snifter/Goblet/Chalice,50-55° F,10.0-12.8° C,Craft,,Belgian-Style Ale,Quadrupel,Mikkeller
8562,108567,Mikkeller Swinging Harry,5584,3.5759999999999996,Beer,Ale,3,49,"A collaboration between Mikkeller and Cigar City, bottled by Mikkeller. This is described as a Belgian style ale brewed with Papaya and Mango and aged in Grand Marnier barrels. It's ingredients include water, malts, brewing sugar, Citra and Simcoe hops, papaya, mango, and brettanomyces claussii yeast.",Copenhagen,Denmark,11.4,70.0,,,,"Spicy Thai curry, Grilled sausages, Dark chocolate.",Snifter/Goblet/Chalice,55-60° F,12.8-15.6° C,Craft,,Belgian-Style Ale,Quadrupel,Mikkeller
8563,108568,Mikkeller Shapes Blonde Ale,5584,4.807333333333333,Beer,Ale,13,0,"Brewed in San Diego, Mikkeller Shapes Blonde is a pale Belgium ale with a golden color and white head. It has a fruity flavor finished by a strong hoppy taste. The light-bodied beer is malty and satisfying. It has some mild earthy notes, too, such as fresh grass and pine.",Copenhagen,Denmark,5.6,25.0,,,,"Spicy Thai food, Grilled chicken, Citrus salad",Pint Glass,45-50° F,7.2-10.0° C,Craft,,Golden / Blonde Ale,,Mikkeller
8564,108569,Mikkeller Jackie Brown Ale,5584,4.869499999999998,Beer,Ale,7,3,"Mikkellers tribute to the foul-mouthed stewardess Jackie Brown from Quentin Tarantino’s movie of the same name. It’s a roasty, chocolaty brown ale with hints of coffee and licorice. Being a Mikkeller brew the malts are inevitably complimented by a great amount of hop bitterness, aroma and flavour.",Copenhagen,Denmark,6.0,35.0,,,,"BBQ ribs, Gouda cheese, Chocolate dessert",Pint Glass,45-50° F,7.2-10.0° C,Craft,,Brown Ale,American Brown Ale,Mikkeller
8565,108570,Mikkeller Awful Gato,5584,3.739,Beer,Ale,7,0,Imperial Brown Ale with Vanilla & Coffee,Copenhagen,Denmark,10.1,60.0,,,,"Chocolate, BBQ ribs, Cheesecake","Pint Glass, Stein/Pub Mug",45-50° F,7.2-10.0° C,,,Brown Ale,,Mikkeller
8566,108571,Mikkeller Foggy Figures Black IPA,5584,4.147,Beer,Ale,15,14,"N.E. style Black IPA with Columbus, Simcoe & Chinook Hops.",Copenhagen,Denmark,7.0,70.0,,,,"Spicy BBQ ribs, Dark chocolate, Blue cheese",Pint Glass,45-50° F,7.2-10.0° C,Craft,,IPA,Black IPA,Mikkeller
8567,108572,Mikkeller Mosaic Black IPA,5584,3.968,Beer,Ale,15,14,"Don't let the color in this black IPA fool you. IPA first, dark beer second, this Danish ale is crafted with sparing amounts of dark malt, lending it lots of color but just a hint of roast, allowing mosaic hop-derived flavors of grapefruit, passionfruit, guava, pineapple, and herbs shine.",Copenhagen,Denmark,6.9,100.0,,,,"Spicy BBQ ribs, Blue cheese burger, Dark chocolate.",Pint Glass,45-50° F,7.2-10.0° C,Craft,,IPA,Black IPA,Mikkeller
8569,108574,Mikkeller Big Sky Lullaby Double IPA,5584,3.988,Beer,Ale,15,32,"Big nose of honey dew, lemongrass, green tea, and pine. Body is lighter, allowing hop flavors to showcase their citrus and chamomile characteristics.  Enough bite from the hops to blend with the 8% alcohol to allow a balanced taste",Copenhagen,Denmark,8.2,100.0,,,,"Spicy Thai curry, Grilled steak, Sharp cheddar cheese",Snifter/Goblet/Chalice,50-55° F,10.0-12.8° C,,,IPA,Imperial / Double IPA,Mikkeller
8570,108575,Mikkeller Black Tie,5584,4.722,Beer,Ale,15,32,"Black Tie was first dubbed Mandeøl (Man Beer). It was brewed for the Swedish market and only as draught beer. After spending four months in Scottish whiskey barrels and then being bottled it earned it's present name, Black Tie. Black Tie is an imperial stout with honey and smoked barley. Sweet, smokey and sophisticated - slick and sexy like a black tie.",Copenhagen,Denmark,11.5,100.0,,,,"Chocolate, BBQ ribs, Blue cheese",Snifter/Goblet/Chalice,50-55° F,10.0-12.8° C,Craft,,IPA,Imperial / Double IPA,Mikkeller
8571,108576,Mikkeller Bourbon Barrel Aged Traeblod Double IPA,5584,4.5920000000000005,Beer,Ale,15,32,"Imperial Stout Brewed with Maple Syrup & Coffee & Aged in Bourbon Barrels The annual release of TRÆBLOD, our coveted Imperial Stout w/ Maple & Coffee, aged gracefully in Weller Wheated Bourbon barrels.  After a year of resting, we pulled incredibly decadent layers of toasted marshmallow, Crème Brûlée, and cinnamon spice. With a massive coffee and maple character, the complexity is unsurpassed, proving seamless and splendid.",Copenhagen,Denmark,15.4,100.0,,,,"Spicy BBQ ribs, Blue cheese, Dark chocolate",Snifter/Goblet/Chalice,45-50° F,7.2-10.0° C,,,IPA,Imperial / Double IPA,Mikkeller
8572,108577,Mikkeller Brewing Humle Nord New England Style Double IPA,5584,4.0360000000000005,Beer,Ale,15,32,"A New England Double IPA created and produced for those HOP Nerds. A heavy base of pilsner malt helped set the stage for this Double IPA, Dry hopped with Centenal, Citra and an excessive amount of Galaxy. This 7.7% New England Style Double IPA is loaded and overflowing with tropical, citrus fruity aromas. We took advantage of the amazing aromatics released via biotransformations during warm dry hopping to produce this ultimate Hop Nerd Beer and we hope you enjoy it.",Copenhagen,Denmark,7.7,70.0,,,,"Spicy Thai curry, Grilled pork chops, Blue cheese",Snifter/Goblet/Chalice,45-50° F,7.2-10.0° C,,,IPA,Imperial / Double IPA,Mikkeller
8573,108578,Mikkeller Bumping This Thread,5584,4.038,Beer,Ale,15,32,"Re: Imperial IPA with Citra and Galaxy. Bump. Following up here, any updates? Super fruity nose with big mouthfeel coming from malted wheat and flaked oats.",Copenhagen,Denmark,8.0,100.0,,,,"Spicy Thai curry, Grilled sausages, Dark chocolate.",Snifter/Goblet/Chalice,50-55° F,10.0-12.8° C,Craft,,IPA,Imperial / Double IPA,Mikkeller
8574,108579,Mikkeller Careless Island Affair,5584,4.126,Beer,Ale,15,32,"Collaboration with Seven Island Brewery (Greece). Imperial IPA with Lactose DDH w/Citra, Mosaic and Wai'iti hops",Copenhagen,Denmark,8.0,40.0,,,,"Spicy Thai curry, Grilled shrimp, Mango salsa",Snifter/Goblet/Chalice,50-55° F,10.0-12.8° C,,,IPA,Imperial / Double IPA,Mikkeller
8575,108580,Mikkeller Citra Imperial IPA,5584,4.042000000000001,Beer,Ale,15,32,"Here at Mikkeller we are proud to present the newest addition to the Mikkeller selection – the Citra Double IPA. Poured with a white head this clear amber coloured beer has a nice aroma of strong citrus and tropical tones of grapefruit, melon, lime, gooseberry, passion fruit and lycée.",Copenhagen,Denmark,8.9,100.0,,,,"Spicy Thai curry, Grilled chicken, Sharp cheddar cheese",Snifter/Goblet/Chalice,50-55° F,10.0-12.8° C,Craft,,IPA,Imperial / Double IPA,Mikkeller
8576,108581,Mikkeller Crooked Moon Tattoo Double IPA,5584,4.04,Beer,Ale,15,32,"In Mikkeller we have over the years done ​​many collaboration brews. However, the last one we did was a little unusual – we collaborated with the Swedish tattoo studio Crooked Moon. The two brothers Jacob and Jonas Pedersen that run Crooked Moon Tattoo in Helsingborg wanted to celebrate their tattoo studio’s first birthday with a big party, and what could be more natural than to do it with a beer in their own name? The two brothers have designed the labels for this beer. And therefore this beer comes with two different labels. One by of Jacob, and the other by Jonas. The beer is just like a Crooked Moon tattoo: strong and powerful. In this case we are talking about a violently hoppy double IPA with 9% alcohol. You’ll find Crooked Moon / Mikkeller DIPA find on draft and bottled. The picture show the two labels – Jacob’s label design to the left and of course then, Jonas’ to the right.En dobbelt india pale ale.",Copenhagen,Denmark,9.0,90.0,,,,"Spicy Thai curry, Blue cheese, Grilled steak",Snifter/Goblet/Chalice,50-55° F,10.0-12.8° C,Craft,,IPA,Imperial / Double IPA,Mikkeller
8578,108583,Mikkeller Game of Thrones Night King Double IPA,5584,3.99,Beer,Ale,15,32,"Produced special for HBO and the Game Of Thrones collaboration project, Night King Double IPA is a NE- Style Double IPA that has a smooth and balanced mouthfeel complimented with fruity, wine-like, citrus, and peach aromatics.",Copenhagen,Denmark,8.2,90.0,,,,"Spicy chicken wings, Blue cheese, Grilled pork chops",Snifter/Goblet/Chalice,45-50° F,7.2-10.0° C,,,IPA,Imperial / Double IPA,Mikkeller
8579,108584,Mikkeller I Beat YoU,5584,4.306,Beer,Ale,15,32,"Heavily hopped with Herkules, Centennial, Warrior, Amarillo, Simcoe and Columbus.",Copenhagen,Denmark,9.8,100.0,,,,"Spicy Thai food, Blue cheese, Grilled steak",Snifter/Goblet/Chalice,50-55° F,10.0-12.8° C,Craft,,IPA,Imperial / Double IPA,Mikkeller
8580,108585,Mikkeller Kickstart My Hops Imperial IPA,5584,4.038,Beer,Ale,15,32,"Double IPA with 3 different hop varieties from 3 different continents. The mix of African Queen (South Africa), Belma (USA), and Barbe Rouge (France) produce a medley of fruity aromas including strawberry, orange, and melon with a dank finish. Lay that over top of a bready DIPA base and you are ready to kick start that hop. Ooh, Yeaah, Baby!",Copenhagen,Denmark,8.0,100.0,,,,"Spicy Thai curry, Grilled steak, Sharp cheddar cheese",Snifter/Goblet/Chalice,45-50° F,7.2-10.0° C,,,IPA,Imperial / Double IPA,Mikkeller
8581,108586,Mikkeller Mosaic Imperial IPA,5584,3.91,Beer,Ale,15,32,"Poured with a white head this clear amber coloured beer has a nice aroma of pineapple, citrus fruits and crispy hops. The Mosaic hop adds a high bitterness while giving a nice fruity taste. Neatly carbonated and at 8.9 abv serves you well when you want that full, hoppy and fruity taste. Easy to drink and enjoy!",Copenhagen,Denmark,8.9,69.0,,,,"Spicy Thai curry, Grilled steak, Sharp cheddar cheese",Snifter/Goblet/Chalice,50-55° F,10.0-12.8° C,Craft,,IPA,Imperial / Double IPA,Mikkeller
8582,108587,Mikkeller Nucular Hop Assault,5584,4.038,Beer,Ale,15,32,"A tribute to the metal band Nuclear Assault, this Double IPA is bright and crisp with a combination of citrus, peach and fresh cut grass on the nose. The flavors combine tons of lemon and grapefruit peel from the hybrid hops and is rounded out by sweet caramel notes.",Copenhagen,Denmark,8.0,100.0,,,,"Spicy Thai food, Grilled steak, Sharp cheddar cheese",Snifter/Goblet/Chalice,45-50° F,7.2-10.0° C,Craft,,IPA,Imperial / Double IPA,Mikkeller
8584,108589,Mikkeller Simcoe Imperial IPA,5584,4.218,Beer,Ale,15,32,"Mikkeller X-series. The first in a series of single hop IIPA’s. Brewed with US hop variety Simcoe, a Mikkeller favourite.",Copenhagen,Denmark,10.0,100.0,,,,"Spicy Thai curry, Grilled steak, Sharp cheddar cheese",Snifter/Goblet/Chalice,50-55° F,10.0-12.8° C,Craft,,IPA,Imperial / Double IPA,Mikkeller
8585,108590,Mikkeller Social Climber,5584,4.01,Beer,Ale,15,32,"A big, bad, loud 8% Imperial IPA inspired by our city, New York City. This beer balances a robust hop bill of Simcoe, Citra, and Mosaic with a grist that can stand up.",Copenhagen,Denmark,8.0,70.0,,,,"Spicy Thai food, Grilled chicken, Sharp cheddar cheese","Pint Glass, Snifter/Goblet/Chalice",50-55° F,10.0-12.8° C,,,IPA,Imperial / Double IPA,Mikkeller
8586,108591,Mikkeller Spells Double IPA,5584,4.038,Beer,Ale,15,32,"An intensely hoppy pale ale with minimal malt character, designed to showcase its strong hop flavors.",Copenhagen,Denmark,8.0,100.0,,,,"Spicy Thai curry, Grilled steak, Dark chocolate",Snifter/Goblet/Chalice,50-55° F,10.0-12.8° C,Craft,,IPA,Imperial / Double IPA,Mikkeller
8587,108592,Mikkeller The Foggening Limited Double IPA,5584,4.072,Beer,Ale,15,32,"Tropical, fruity - orange, mango, pineapple with creamy texture and medium body. Guava notes add complexity with underlying dank/resinous to balance.",Copenhagen,Denmark,9.0,100.0,,,,"Spicy Thai curry, Grilled steak, Dark chocolate","Pint Glass, Snifter/Goblet/Chalice",45-50° F,7.2-10.0° C,,,IPA,Imperial / Double IPA,Mikkeller
8588,108593,Mikkeller Traeblod Imperial Stout,5584,4.716,Beer,Ale,15,32,"A massive Imperial Stout, blasted with an incredible amount of high-quality Vermont Maple Syrup and kissed with a moderate amount of dark roast coffee. A full serving of breakfast in a glass - decadent tree sap, roasted malt, and eggy french toast crust. Full-bodied and balanced, a unabashed symphony between sweet syrup and dark roasted coffee.",Copenhagen,Denmark,11.0,100.0,,,,"Chocolate, BBQ ribs, Blue cheese",Snifter/Goblet/Chalice,45-50° F,7.2-10.0° C,Craft,,IPA,Imperial / Double IPA,Mikkeller
